LL Insert,LL Search,BST Insert,BST Search
0.000153575,0.000108897,2.39E-05,6.84E-06
0.000168403,0.000106828,1.88E-05,9.41E-06
0.000160448,8.09E-05,1.83E-05,7.63E-06
0.000154147,8.82E-05,1.88E-05,4.79E-06
0.00017713,0.000111431,1.55E-05,4.21E-06
0.000105084,0.000108227,2.20E-05,3.73E-06
0.000187866,0.000136437,1.85E-05,4.04E-06
0.000170552,9.89E-05,1.79E-05,3.66E-06
0.00015781,9.99E-05,1.79E-05,3.26E-06
0.000185494,9.67E-05,2.85E-05,2.86E-06
0.000205236,9.49E-05,2.87E-05,3.41E-06
0.000158178,9.22E-05,2.35E-05,4.81E-06
0.000180497,0.00010975,2.03E-05,2.83E-06
0.000141783,9.21E-05,1.97E-05,3.35E-06
0.000178224,0.000114639,2.15E-05,2.47E-06
0.000184606,0.000122282,2.18E-05,3.92E-06
0.00017792,0.000117789,2.22E-05,5.75E-06
0.000178727,0.000101077,2.04E-05,6.03E-06
0.000217233,8.84E-05,2.38E-05,8.95E-06
0.00018645,9.56E-05,2.38E-05,5.55E-06
0.000181106,0.000117845,1.91E-05,2.82E-06
0.000185851,0.00012554,1.99E-05,3.97E-06
0.000186165,0.000105485,3.03E-05,4.35E-06
0.000190782,0.000117614,3.01E-05,1.23E-05
0.000194969,0.000102825,2.40E-05,5.80E-06
0.000172945,0.000128982,2.75E-05,3.66E-06
0.000178614,9.93E-05,1.95E-05,3.29E-06
0.000186157,0.000119234,2.08E-05,4.14E-06
0.000167189,0.000106407,2.09E-05,4.31E-06
0.000175603,0.000108702,2.64E-05,3.06E-06
0.000192125,0.00010451,1.81E-05,2.53E-06
0.00020057,0.000107465,2.40E-05,1.11E-05
0.000203264,0.000110686,2.12E-05,6.17E-06
0.000183926,0.000109614,2.07E-05,4.72E-06
0.000199474,9.88E-05,2.24E-05,3.83E-06
0.000175207,9.77E-05,2.26E-05,6.91E-06
0.000234128,0.000123521,3.27E-05,6.45E-06
0.000204248,0.000102269,1.91E-05,6.70E-06
0.000156826,0.000115998,2.19E-05,7.04E-06
0.000172683,0.000101533,2.50E-05,6.86E-06
0.000212477,9.23E-05,1.49E-05,5.43E-06
0.000178858,0.000111437,2.19E-05,3.93E-06
0.000217769,8.51E-05,2.18E-05,4.04E-06
0.000195356,0.000119624,3.30E-05,6.00E-06
